UI_Group,UI_Target,accuracy,precision,recall,macro_f1,Best_Params
Mobile_UI,mobile_whitespace,0.85,0.2833333333333333,0.3333333333333333,0.30630630630630634,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_navigation,0.4,0.2123563218390805,0.23124999999999998,0.21190476190476187,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_search_visibility,0.325,0.2957393483709273,0.3091491841491842,0.29947089947089944,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Mobile_UI,mobile_category_display,0.4,0.265993265993266,0.32230392156862747,0.2911010558069382,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_product_card,0.4,0.3618181818181818,0.2982142857142857,0.31082879612825165,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_price_display,0.575,0.20175438596491227,0.3066666666666667,0.24338624338624337,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Mobile_UI,mobile_filter_location,0.6,0.375,0.3924191750278707,0.3694083694083694,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
Mobile_UI,mobile_quick_view,0.35,0.15053763440860216,0.2222222222222222,0.1794871794871795,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_review_display,0.5,0.32952380952380955,0.36507936507936506,0.34575569358178054,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Mobile_UI,mobile_sticky_header,0.5,0.42857142857142855,0.4340659340659341,0.4301994301994302,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Mobile_UI,mobile_touch_size,0.425,0.2711111111111111,0.2798573975044563,0.27437943262411346,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
